Attrition,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,RelationshipSatisfaction,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,Educational_Levels_Bachelors D.,Educational_Levels_College D.,Educational_Levels_Masters D.,Educational_Levels_Phd D.,Educational_Levels_Without College D.
Yes,41,1,2,2,3,2,4,5993,8,1,3,8,1,6,4,0,5,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
No,49,8,1,3,2,2,2,5130,1,4,4,10,3,10,7,1,7,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
Yes,37,2,2,4,2,1,3,2090,6,2,3,7,3,0,0,0,0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
No,33,3,4,4,3,1,3,2909,1,3,3,8,3,8,7,3,0,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
No,27,2,1,1,3,1,2,3468,9,4,3,6,3,2,2,2,2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
No,32,2,2,4,3,1,4,3068,0,3,3,8,2,7,7,3,6,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
No,59,3,3,3,4,1,1,2670,4,1,4,12,2,1,0,0,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
No,30,24,1,4,3,1,3,2693,1,2,4,1,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
No,38,23,3,4,2,3,3,9526,0,2,4,10,3,9,7,1,8,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,36,27,3,3,3,2,3,5237,6,2,3,17,2,7,7,7,7,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
No,35,16,3,1,4,1,2,2426,0,3,3,6,3,5,4,0,3,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
No,29,15,2,4,2,2,3,4193,0,4,3,10,3,9,5,0,8,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
No,31,26,1,1,3,1,3,2911,1,4,3,5,2,5,2,4,3,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
No,34,19,2,2,3,1,4,2661,0,3,3,3,3,2,2,1,2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
Yes,28,24,3,3,2,1,3,2028,5,2,3,6,3,4,2,0,3,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
No,29,21,4,2,4,3,1,9980,1,3,3,10,3,10,9,8,8,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
No,32,5,2,1,4,1,2,3298,0,4,3,7,2,6,2,0,5,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
No,22,16,2,4,4,1,4,2935,1,2,3,1,2,1,0,0,0,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
No,53,2,4,1,2,4,4,15427,2,3,3,31,3,25,8,3,7,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
No,38,2,3,4,3,1,4,3944,5,3,3,6,3,3,2,1,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False
No,24,11,2,1,4,2,3,4011,0,4,3,5,2,4,2,1,3,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
